"ftsim","fesim","aggregation","roles","alpha","score","label"
"dist","dist","max","TRUE",0.1,0.35969,"dist-dist-max-TRUE"
"dist","dist","max","TRUE",0.2,0.35832,"dist-dist-max-TRUE"
"dist","dist","max","TRUE",0.3,0.35559,"dist-dist-max-TRUE"
"dist","dist","max","TRUE",0.4,0.35074,"dist-dist-max-TRUE"
"dist","dist","max","TRUE",0.5,0.344,"dist-dist-max-TRUE"
"dist","dist","max","TRUE",0.6,0.33471,"dist-dist-max-TRUE"
"dist","dist","max","TRUE",0.7,0.32281,"dist-dist-max-TRUE"
"dist","dist","max","TRUE",0.8,0.30571,"dist-dist-max-TRUE"
"dist","dist","max","TRUE",0.9,0.28411,"dist-dist-max-TRUE"
"dist","dist","max","TRUE",1,0.2578,"dist-dist-max-TRUE"
"dist","dist","avg","FALSE",0,0.38178,"dist-dist-avg-FALSE"
"dist","dist","avg","FALSE",0.1,0.40049,"dist-dist-avg-FALSE"
"dist","dist","avg","FALSE",0.2,0.41861,"dist-dist-avg-FALSE"
"dist","dist","avg","FALSE",0.3,0.436,"dist-dist-avg-FALSE"
"dist","dist","avg","FALSE",0.4,0.45106,"dist-dist-avg-FALSE"
"dist","dist","avg","FALSE",0.5,0.46349,"dist-dist-avg-FALSE"
"dist","dist","avg","FALSE",0.6,0.47119,"dist-dist-avg-FALSE"
"dist","dist","avg","FALSE",0.7,0.47313,"dist-dist-avg-FALSE"
"dist","dist","avg","FALSE",0.8,0.47156,"dist-dist-avg-FALSE"
"dist","dist","avg","FALSE",0.9,0.46542,"dist-dist-avg-FALSE"
"dist","dist","avg","FALSE",1,0.45574,"dist-dist-avg-FALSE"
"dist","dist","avg","TRUE",0,0.54397,"dist-dist-avg-TRUE"
"dist","dist","avg","TRUE",0.1,0.54501,"dist-dist-avg-TRUE"
"dist","dist","avg","TRUE",0.2,0.54465,"dist-dist-avg-TRUE"
"dist","dist","avg","TRUE",0.3,0.54256,"dist-dist-avg-TRUE"
"dist","dist","avg","TRUE",0.4,0.53847,"dist-dist-avg-TRUE"
"dist","dist","avg","TRUE",0.5,0.53194,"dist-dist-avg-TRUE"
"dist","dist","avg","TRUE",0.6,0.52265,"dist-dist-avg-TRUE"
"dist","dist","avg","TRUE",0.7,0.51049,"dist-dist-avg-TRUE"
"dist","dist","avg","TRUE",0.8,0.49535,"dist-dist-avg-TRUE"
"dist","dist","avg","TRUE",0.9,0.47713,"dist-dist-avg-TRUE"
"dist","dist","avg","TRUE",1,0.45574,"dist-dist-avg-TRUE"
